path_paras,trial,model_name,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A10_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A10_test,A20_test
tanh-13-RMSE,2,GSKA-ELM,"{'epoch': 1000, 'pop_size': 50, 'pb': 0.1, 'kf': 0.5, 'kr': 0.9, 'kg': 5}",587.819,587.825,1.04579,1.65517,0.97385,0.94839,0.16962,0.94839,0.96341,0.87234,234.75802,94.83911,0.40311,0.68847,1.2111,2.06321,0.93967,0.86486,0.16307,0.86486,0.91501,0.78322,-99.40675,87.02862,0.45296,0.72822
tanh-13-RMSE,2,LCO-ELM,"{'epoch': 1000, 'pop_size': 50, 'r1': 2.35}",697.677,697.73,1.02414,1.69838,0.97245,0.94566,0.15821,0.94566,0.9605,0.89689,201.93432,94.56614,0.43336,0.73426,1.18416,2.24509,0.91944,0.83999,0.14203,0.83999,0.91904,0.84266,77.71501,83.99891,0.52962,0.76655
tanh-13-RMSE,2,SMA-ELM,"{'epoch': 1000, 'pop_size': 50, 'p_t': 0.03}",732.878,732.912,1.05827,1.69581,0.97254,0.94583,0.1685,0.94583,0.96113,0.8748,229.36125,94.58251,0.41455,0.70401,1.29,2.12761,0.9289,0.8563,0.18884,0.8563,0.88628,0.75874,-72.19036,86.05253,0.37282,0.67247
tanh-13-RMSE,2,SOA-ELM,"{'epoch': 1000, 'pop_size': 50, 'fc': 2}",672.378,672.402,1.0707,1.75758,0.97047,0.94181,0.15814,0.94181,0.95831,0.89689,235.25256,94.18063,0.44154,0.7269,1.22186,2.07292,0.93248,0.86359,0.17193,0.86359,0.90715,0.78671,-41.40023,86.61749,0.41463,0.70732
tanh-13-RMSE,2,TSA-ELM,"{'epoch': 1000, 'pop_size': 50}",697.713,697.763,1.01111,1.57488,0.97636,0.95328,0.17392,0.95328,0.9659,0.85025,205.18645,95.32768,0.42682,0.68847,1.22567,2.06236,0.9404,0.86497,0.16756,0.86497,0.9174,0.79021,-88.95962,86.9972,0.44948,0.73171
tanh-13-RMSE,2,AEO-ELM,"{'epoch': 1000, 'pop_size': 50}",693.58,693.621,1.02153,1.67463,0.97323,0.94717,0.15424,0.94717,0.96158,0.89853,197.21872,94.71705,0.44399,0.74162,1.31733,2.31974,0.9258,0.82917,0.16502,0.82917,0.90354,0.82517,-89.31801,83.46477,0.46341,0.74913
tanh-13-RMSE,2,HS-ELM,"{'epoch': 1000, 'pop_size': 50, 'c_r': 0.95, 'pa_r': 0.05}",723.162,723.189,0.93812,1.47932,0.97917,0.95877,0.14808,0.95877,0.97074,0.88543,183.9764,95.87742,0.4489,0.74816,1.2991,2.23292,0.93768,0.84172,0.1734,0.84172,0.89419,0.75874,-159.59034,85.25401,0.44599,0.75261
tanh-13-RMSE,2,GBO-ELM,"{'epoch': 1000, 'pop_size': 50, 'pr': 0.5, 'beta_min': 0.2, 'beta_max': 1.2}",817.846,817.868,0.92142,1.493,0.97878,0.95801,0.1394,0.95801,0.96982,0.89607,171.38332,95.8008,0.48406,0.78659,1.23562,2.12657,0.93767,0.85644,0.16309,0.85644,0.90735,0.8007,-123.861,86.35932,0.44251,0.77352
tanh-13-RMSE,2,PSS-ELM,"{'epoch': 1000, 'pop_size': 50, 'acceptance_rate': 0.9, 'sampling_method': 'LHS'}",420.86,420.866,0.99455,1.60046,0.97557,0.95175,0.15789,0.95175,0.96561,0.86661,215.96407,95.17459,0.44154,0.73017,1.24934,1.99974,0.94282,0.87305,0.18153,0.87305,0.91097,0.79371,-111.59701,87.94011,0.38676,0.69686
tanh-13-RMSE,2,INFO-ELM,"{'epoch': 1000, 'pop_size': 50}",383.669,383.691,0.88522,1.42278,0.98075,0.96187,0.13408,0.96187,0.97293,0.89525,164.51572,96.18652,0.50286,0.79967,1.25099,2.27947,0.9297,0.83505,0.15614,0.83505,0.90106,0.82867,-120.51587,84.23715,0.50174,0.75958
tanh-13-RMSE,2,RUN-ELM,"{'epoch': 1000, 'pop_size': 50}",313.345,313.359,0.89533,1.43467,0.98042,0.96123,0.13594,0.96123,0.9723,0.89034,164.38917,96.12255,0.50204,0.79231,1.16512,2.05037,0.94096,0.86654,0.1468,0.86654,0.91923,0.81469,-91.19301,87.11538,0.50523,0.77352
tanh-13-RMSE,3,GA-ELM,"{'epoch': 1000, 'pop_size': 50, 'pc': 0.85, 'pm': 0.05}",761.096,761.108,0.92761,1.50081,0.97855,0.95757,0.14548,0.95757,0.96912,0.88707,168.42843,95.75683,0.46607,0.77105,1.19888,2.13605,0.93507,0.85515,0.15656,0.85515,0.9175,0.81469,-71.71594,85.90159,0.45993,0.75261
tanh-13-RMSE,3,CRO-ELM,"{'epoch': 1000, 'pop_size': 50, 'po': 0.85, 'Fb': 0.9, 'Fa': 0.1, 'Fd': 0.1, 'Pd': 0.1, 'GCR': 0.1, 'gamma_min': 0.02, 'gamma_max': 0.2, 'n_trials': 3}",385.607,385.649,0.88472,1.4317,0.9805,0.96139,0.13403,0.96139,0.97239,0.89525,161.58248,96.13854,0.50613,0.79886,1.2226,2.18693,0.93792,0.84817,0.15121,0.84817,0.9061,0.82867,-95.76502,85.35827,0.48432,0.79443
tanh-13-RMSE,3,AGTO-ELM,"{'epoch': 1000, 'pop_size': 50, 'p1': 0.03, 'p2': 0.8, 'beta': 3.0}",692.295,692.31,0.94045,1.48743,0.97894,0.95832,0.14851,0.95832,0.9702,0.89034,178.08272,95.83207,0.44808,0.75715,1.23154,2.26508,0.92416,0.83713,0.15429,0.83713,0.91465,0.82517,-31.47715,83.94138,0.47387,0.75958
tanh-13-RMSE,3,DMOA-ELM,"{'epoch': 1000, 'pop_size': 50, 'peep': 2}",684.988,685.022,0.91806,1.47442,0.97931,0.95905,0.14658,0.95905,0.97085,0.88052,181.94402,95.90467,0.48406,0.75961,1.17825,2.08955,0.93659,0.86139,0.15398,0.86139,0.91818,0.79371,-78.02352,86.5435,0.46341,0.77003
tanh-13-RMSE,3,HGS-ELM,"{'epoch': 1000, 'pop_size': 50, 'PUP': 0.03, 'LH': 1000}",711.12,711.137,1.00084,1.63977,0.97434,0.94935,0.15214,0.94935,0.96363,0.90098,201.35874,94.93466,0.45707,0.74816,1.1508,2.04882,0.93408,0.86674,0.15491,0.86674,0.90904,0.82867,-47.2044,86.92739,0.49129,0.78049
tanh-13-RMSE,3,WOA-ELM,"{'epoch': 1000, 'pop_size': 50}",697.128,697.173,0.95904,1.54428,0.97728,0.95507,0.14899,0.95507,0.9678,0.87561,192.01417,95.50742,0.47588,0.75225,1.2636,2.09252,0.93752,0.861,0.16816,0.861,0.92096,0.79371,-59.05775,86.44308,0.43554,0.71429
tanh-13-RMSE,3,NRO-ELM,"{'epoch': 1000, 'pop_size': 50}",862.038,862.075,0.95264,1.51254,0.97821,0.9569,0.14598,0.9569,0.9691,0.89444,180.93273,95.69018,0.4628,0.76697,1.18116,2.16421,0.92682,0.85131,0.15118,0.85131,0.9228,0.8007,10.94937,85.20397,0.50174,0.76655
tanh-13-RMSE,3,HGSO-ELM,"{'epoch': 1000, 'pop_size': 50, 'n_clusters': 2}",677.496,677.546,1.06637,1.76411,0.97024,0.94137,0.15764,0.94137,0.95859,0.90589,241.40581,94.13741,0.45544,0.73262,1.17946,2.10983,0.92954,0.85869,0.15219,0.85869,0.90558,0.83566,-35.78888,86.08866,0.51916,0.77352
